bloco 	genotipo	tratamento	DPV3	PR	H	MST	MSR
1	1	controle	18	70.1	145.2	2.1	0.819
1	1	seca	20	82.3	120.1	1.7	0.663
2	1	controle	19	72.5	150.5	2.2	0.858
2	1	seca	20	77.6	115.2	1.6	0.624
3	1	controle	18	74.9	140.1	2.3	0.897
3	1	seca	22	86.5	98.3	1.4	0.546
1	2	controle	17	56.8	110.5	2.4	0.936
1	2	seca	19	52.1	65.2	1.8	0.702
2	2	controle	18	62.4	114.7	2.5	0.975
2	2	seca	19	47.9	51.5	1.7	0.663
3	2	controle	17	66.3	138.3	2.6	1.014
3	2	seca	20	57.8	77.4	1.6	0.624
1	3	controle	21	94.5	75.5	1.8	0.702
1	3	seca	24	102.4	69.6	1.5	0.585
2	3	controle	22	97.5	80.1	1.5	0.585
2	3	seca	25	118.3	75.4	1.5	0.585
3	3	controle	22	92.1	92.3	1.6	0.624
3	3	seca	22	123.5	90.1	1.4	0.546
1	4	controle	16	56.8	115.3	2.1	0.819
1	4	seca	22	57.4	49.8	1.7	0.663
2	4	controle	15	65.3	128.1	3.1	1.209
2	4	seca	21	62.1	39.4	1.8	0.702
3	4	controle	17	72.9	136.6	3.2	1.248
3	4	seca	20	67.3	65.5	1.6	0.624
1	5	controle	20	39.8	87.5	2.5	0.975
1	5	seca	25	65.6	86.1	1.4	0.546
2	5	controle	21	37.4	89.4	2.6	1.014
2	5	seca	26	78.3	88.3	1.4	0.546
3	5	controle	22	32.5	102.1	2.5	0.975
3	5	seca	23	79.8	90.3	1.3	0.507
1	6	controle	23	82.1	117.5	2.4	0.936
1	6	seca	25	100.1	56.3	1.3	0.507
2	6	controle	25	80.3	125.5	2.5	0.975
2	6	seca	27	102.4	49.4	0.9	0.351
3	6	controle	24	66.5	135.3	2.5	0.975
3	6	seca	27	105.6	38.5	1.5	0.585
