A	gs	E	Ci/Ca	Root	Stem	Leaves	TOTAL	R/T	S/T	Altura	Diametro	RWC
14.791	0.335	1.895	0.801	11.54	11.85	12.63	36.02	0.320	0.680	53	5.6	75.85714286
10.183	0.225	1.723	0.798	10.56	7.28	8.95	26.79	0.394	0.606	72	9.5	94.42344045
11.017	0.264	2.274	0.810	13.87	14.36	13.50	41.73	0.332	0.668	70	5.2	91.41445337
13.587	0.238	2.423	0.753	20.90	17.20	19.86	57.96	0.361	0.639	82	7.1	74.64788732
14.636	0.453	3.767	0.845	20.08	15.84	16.85	52.77	0.381	0.619	87	12.8	95.44041451
14.830	0.336	3.314	0.792	10.88	11.55	12.68	35.11	0.310	0.690	98	19.5	94.67501958
9.721	0.165	1.223	0.750	8.90	9.26	9.79	27.95	0.318	0.682	55	7.5	89.97493734
7.323	0.062	0.721	0.528	9.01	9.24	8.87	27.12	0.332	0.668	66	7.5	91.95530726
2.204	0.037	0.435	0.757	7.90	8.11	8.36	24.37	0.324	0.676	56	5.4	32.66503667
6.287	0.040	0.479	0.383	7.09	8.06	8.49	23.64	0.300	0.700	64	7.7	81.05994787
9.939	0.146	1.696	0.713	9.51	12.62	8.75	30.88	0.308	0.692	85	12.3	91.10612855
9.074	0.148	1.803	0.729	15.39	14.66	8.33	38.38	0.401	0.599	80	7.9	87.71331058
7.405	0.322	1.947	0.891	9.50	6.18	7.60	23.28	0.408	0.592	71	4.8	78.83102286
11.606	0.260	2.010	0.801	10.85	7.62	7.27	25.74	0.422	0.578	59	5.6	91.71717172
8.512	0.233	2.126	0.836	11.57	4.82	11.81	28.20	0.410	0.590	90	8.6	78.93081761
10.162	0.341	2.837	0.859	11.98	11.44	13.52	36.94	0.324	0.676	72	8.1	85.13591671
14.707	0.274	2.600	0.762	11.81	9.77	9.45	31.03	0.381	0.619	69	7.7	96.06256742
15.168	0.401	3.397	0.819	26.39	19.15	20.52	66.06	0.399	0.601	91	10.6	93.54354354
12.970	0.299	3.137	0.795	19.45	14.80	15.53	49.78	0.391	0.609	88	10.9	82.4109589
13.218	0.306	2.086	0.804	12.83	11.08	11.64	35.55	0.361	0.639	54	5.8	95.75757576
10.220	0.181	1.575	0.754	8.79	7.61	8.64	25.04	0.351	0.649	88	7.4	98.13953488
9.440	0.231	2.149	0.819	11.95	10.33	13.72	36.00	0.332	0.668	69	7.1	93.07295505
9.869	0.106	1.145	0.612	13.26	10.36	12.62	36.24	0.366	0.634	81	7.9	85.16247701
16.180	0.295	2.736	0.755	10.21	9.71	8.29	28.21	0.362	0.638	56	4.6	94.39421338
19.629	0.315	3.588	0.726	10.36	10.90	13.29	34.55	0.300	0.700	62	7.4	92.22298692
16.465	0.318	3.378	0.759	15.31	11.03	11.25	37.59	0.407	0.593	70	7.7	89.89813243
6.973	0.055	0.493	0.480	8.70	10.27	10.55	29.52	0.295	0.705	65	5.9	81.28231644
4.141	0.035	0.403	0.523	12.85	17.71	21.30	51.86	0.25	0.75	82	8.4	28.35891381
1.847	0.038	0.439	0.799	6.65	10.18	8.04	24.87	0.267	0.733	67	6	62.12471132
3.611	0.023	0.278	0.385	11.78	12.31	10.37	34.46	0.342	0.658	66	8	47.75353017
5.211	0.036	0.451	0.432	8.42	10.94	11.56	30.92	0.272	0.728	72	8.2	68.84003033
