block	genotype	root_length	plant_height								
B1	1	76.2	135								
B1	2	38.1	42								
B1	4	71.1	139								
B1	5	78.7	94								
B1	7	74.9	104								
B1	8	86.4	119								
B1	9	63.5	75								
B1	10	72.4	114								
B1	11	71.1	94								
B1	12	83.8	144								
B1	14	73.7	126								
B1	15	71.1	136								
B1	17	68.6	81								
B1	18	61.0	112								
B1	19	91.4	100								
B1	22	96.5	145								
B1	23	83.8	160								
B1	24	50.8	90								
B1	25	66.0	136								
B1	28	57.2	96								
B1	29	53.3	19								
B1	30	94.0	120								
B1	31	73.7	40								
B1	32	91.4	130								
B1	33	66.0	100								
B1	34	104.1	210								
B1	36	61.0	56								
B1	39	101.6	150								
B1	40	78.7	49								
B1	41	45.7	90								
B1	43	68.6	110								
B1	44	68.6	77								
B1	45	53.3	107								
B1	46	53.3	79								
B1	49	69.9	76								
B1	50	94.0	98								
B1	51	104.1	106								
B1	52	58.4	85								
B1	53	61.0	169								
B1	54	61.0	138								
B1	55	49.5	51								
B1	56	81.3	100								
B1	57	86.4	118								
B1	58	57.2	100								
B1	59	88.9	135								
B1	64	66.0	147								
B1	65	40.6	73								
B1	67	69.9	12.5								
B1	68	76.2	110								
B1	69	43.2	76								
B1	71	78.7	137								
B1	72	81.3	110								
B1	74	38.1	105								
B1	75	58.4	130								
B1	76	58.4	100								
B1	79	63.5	106								
B1	80	64.8	65								
B1	81	81.3	140								
B1	82	62.0	130								
B1	83	76.2	102								
B1	84	78.7	107								
B1	86	58.9	44								
B1	87	68.6	75								
B1	88	73.7	142								
B1	90	53.3	67								
B1	91	82.6	62								
B1	93	91.4	118								
B1	94	55.9	100								
B1	95	86.4	61								
B1	97	35.6	64								
B1	99	55.9	103								
B1	100	58.4	98								
B1	101	73.7	76								
B1	102	87.6	89								
B1	103	58.4	104								
B1	104	78.7	150								
B1	105	73.7	71								
B1	106	48.3	35								
B1	107	88.9	100								
B1	109	78.7	155								
B1	111	78.7	75								
B1	112	78.7	82								
B1	113	83.8	74								
B1	114	67.3	135								
B1	115	63.5	97								
B1	117	66.0	131								
B1	118	66.0	124								
B1	119	68.6	101								
B1	120	78.7	140								
B1	132	91.4	160								
B2	1	58.4	121								
B2	2	43.2	82								
B2	4	71.1	174								
B2	5	55.9	138								
B2	7	61.0	115								
B2	8	55.9	142								
B2	9	53.3	76								
B2	10	63.5	148								
B2	11	99.1	180								
B2	12	76.2	155								
B2	14	81.3	157								
B2	15	73.7	155								
B2	17	61.0	71.5								
B2	18	68.6	146								
B2	19	81.3	82								
B2	22	83.8	132								
B2	23	96.5	63								
B2	24	48.3	129								
B2	25	71.1	143.5								
B2	28	48.3	104								
