genotipo	ambiente	ano	bloco	produtividade
A01143-3C	A	2011	A.1	22
A01143-3C	A	2011	A.2	23
A01143-3C	B	2012	B.1	8
A01143-3C	B	2012	B.2	11
A01143-3C	C	2013	C.2	17
A01143-3C	C	2013	C.1	23
AC00206-2W	B	2012	B.1	10
AC00206-2W	B	2012	B.2	11
AC00206-2W	C	2013	C.2	8
AC00206-2W	C	2013	C.1	11
AC01151-5W	A	2011	A.2	18
AC01151-5W	A	2011	A.1	23
AC01151-5W	B	2012	B.2	9
AC01151-5W	B	2012	B.1	10
AC03433-1W	A	2011	A.2	13
AC03433-1W	A	2011	A.1	14
AC03433-1W	B	2012	B.1	10
AC03433-1W	B	2012	B.2	11
AC03433-1W	C	2013	C.1	8
AC03433-1W	C	2013	C.2	9
AC03452-2W	B	2012	B.2	14
AC03452-2W	B	2012	B.1	14
AC03452-2W	C	2013	C.2	11
AC03452-2W	C	2013	C.1	14
AC05153-1W	B	2012	B.2	8
AC05153-1W	B	2012	B.1	9
AC05153-1W	C	2013	C.1	6
AC05153-1W	C	2013	C.2	7
Accumulator(W2324-1)	A	2011	A.1	22
Accumulator(W2324-1)	A	2011	A.2	29
Accumulator(W2324-1)	B	2012	B.2	16
Accumulator(W2324-1)	B	2012	B.1	18
Accumulator(W2324-1)	C	2013	C.1	9
Accumulator(W2324-1)	C	2013	C.2	15
AF4157-6	A	2011	A.1	13
AF4157-6	A	2011	A.2	17
AF4157-6	B	2012	B.2	6
AF4157-6	B	2012	B.1	8
AF4157-6	C	2013	C.2	8
AF4157-6	C	2013	C.1	8
AF4648-2	B	2012	B.2	8
AF4648-2	B	2012	B.1	8
AF4648-2	C	2013	C.1	12
AF4648-2	C	2013	C.2	14
Atlantic	A	2011	A.2	15
Atlantic	A	2011	A.1	15
Atlantic	B	2012	B.1	10
Atlantic	B	2012	B.2	11
Atlantic	C	2013	C.2	11
Atlantic	C	2013	C.1	13
CO00270-7W	A	2011	A.2	19
CO00270-7W	A	2011	A.1	19
CO00270-7W	B	2012	B.1	13
CO00270-7W	B	2012	B.2	15
CO02024-9W	A	2011	A.1	17
CO02024-9W	A	2011	A.2	18
CO02024-9W	B	2012	B.2	11
CO02024-9W	B	2012	B.1	11
CO02024-9W	C	2013	C.1	5
CO02024-9W	C	2013	C.2	7
CO02033-1W	B	2012	B.2	10
CO02033-1W	B	2012	B.1	11
CO02033-1W	C	2013	C.1	10
CO02033-1W	C	2013	C.2	11
CO05061-2P	B	2012	B.1	8
CO05061-2P	B	2012	B.2	10
CO05061-6W	B	2012	B.1	10
CO05061-6W	B	2012	B.2	12
CO05061-6W	C	2013	C.1	7
CO05061-6W	C	2013	C.2	8
Manistee(MSL292-A)	B	2012	B.2	8
Manistee(MSL292-A)	B	2012	B.1	8
Manistee(MSL292-A)	C	2013	C.1	4
