Individuo	Clone	Bloco	Arvore 	Variaveis
1	1	1	1	102.82
2	1	2	2	86.57
3	1	3	3	78.72
4	2	1	1	117.45
5	2	2	2	108.53
6	2	3	3	100.67
7	3	1	1	133.34
8	3	2	2	129.99
9	3	3	3	121.02
10	4	1	1	120.31
11	4	2	2	115.13
12	4	3	3	111.92
13	5	1	1	108.17
14	5	2	2	107.28
15	5	3	3	92.11
16	6	1	1	112.99
17	6	2	2	119.59
18	6	3	3	122.81
19	7	1	1	124.77
20	7	2	2	109.96
21	7	3	3	101.57
22	8	1	1	133.53
23	8	2	2	113.7
24	8	3	3	103.89
25	9	1	1	108.35
26	9	2	2	99.78
27	9	3	3	100.67
28	10	1	1	124.41
29	10	2	2	118.35
30	10	3	3	109.42
31	11	1	1	115.67
32	11	2	2	104.78
33	11	3	3	112.81
34	12	1	1	108.88
35	12	2	2	91.39
36	12	3	3	97.64
37	13	1	1	110.49
38	13	2	2	111.21
39	13	3	3	116.74
40	14	1	1	86.75
41	14	2	2	101.74
42	14	3	3	87.11
43	15	1	1	96.57
44	15	2	2	93.18
45	15	3	3	94.96
46	16	1	1	106.74
47	16	2	2	105.31
48	16	3	3	102.99
49	17	1	1	105.31
50	17	2	2	101.74
51	17	3	3	103.35
52	18	1	1	192.81
53	18	2	2	195.31
54	18	3	3	198.7
55	19	1	1	94.6
56	19	2	2	99.78
57	19	3	3	96.39
58	20	1	1	119.59
59	20	2	2	126.73
60	20	3	3	121.38
61	21	1	1	111.74
62	21	2	2	104.96
63	21	3	3	100.32
64	22	1	1	114.42
65	22	2	2	113.53
66	22	3	3	113.35
67	23	1	1	105.85
68	23	2	2	112.1
69	23	3	3	93
70	24	1	1	89.96
71	24	2	2	115.13
72	24	3	3	104.07
73	25	1	1	106.74
74	25	2	2	105.31
75	25	3	3	110.85
76	26	1	1	100.85
77	26	2	2	113.7
78	26	3	3	115.85
79	27	1	1	98
80	27	2	2	93.18
81	27	3	3	91.57
82	28	1	1	108.53
83	28	2	2	111.03
84	28	3	3	110.13
85	29	1	1	92.82
86	29	2	2	91.75
87	29	3	3	98.71
88	30	1	1	102.28
89	30	2	2	105.14
90	30	3	3	114.42
91	31	1	1	101.74
92	31	2	2	104.07
93	31	3	3	99.07
94	32	1	1	86.57
95	32	2	2	90.86
96	32	3	3	97.46
97	33	1	1	97.1
98	33	2	2	92.46
99	33	3	3	88.54
100	34	1	1	102.82
101	34	2	2	102.1
102	34	3	3	102.64
103	35	1	1	88.71
104	35	2	2	107.28
105	35	3	3	96.21
106	36	1	1	125.66
107	36	2	2	125.66
108	36	3	3	117.1
