corte	clone	bloco	rendimento_acucar
A	A1	A	16.89
A	A1	B	18.70
A	A1	C	19.68
A	A2	A	15.21
A	A2	B	16.13
A	A2	C	14.17
A	A2	A	14.60
A	A3	B	14.72
A	A3	C	19.21
A	A4	A	16.65
A	A4	B	18.61
A	A4	C	13.13
A	A5	A	18.19
A	A5	B	15.25
A	A5	C	16.38
A	A6	A	12.03
A	A6	B	10.68
A	A6	C	13.72
A	A6	A	15.30
A	A7	B	13.63
A	A7	C	14.08
A	A7	A	13.47
A	A8	B	13.76
A	A8	C	14.41
A	A9	A	12.14
A	A9	B	13.11
A	A9	C	14.75
A	A10	A	17.03
A	A10	B	17.17
A	A10	C	15.49
A	A11	A	16.51
A	A11	B	17.30
A	A11	C	15.38
A	A12	A	11.84
A	A12	B	13.20
A	A12	C	12.70
A	A13	A	17.90
A	A13	B	19.11
A	A13	C	18.05
A	A14	A	18.94
A	A14	B	16.69
A	A14	C	18.59
A	A15	A	15.73
A	A15	B	17.37
A	A15	C	13.78
A	A16	A	16.04
A	A16	B	15.11
A	A16	C	14.15
A	A17	A	14.00
A	A17	B	13.71
A	A17	C	18.68
A	A18	A	15.49
A	A18	B	15.98
A	A18	C	16.79
A	A19	A	16.83
A	A19	B	13.17
A	A19	C	15.01
A	A20	A	17.69
A	A20	B	17.34
A	A20	C	16.59
A	A21	A	16.44
A	A21	B	17.31
A	A21	C	17.86
A	A22	A	12.56
A	A22	B	15.17
A	A22	C	15.13
A	A23	A	18.69
A	A23	B	16.85
A	A23	C	17.05
A	A24	A	17.38
A	A24	B	15.42
A	A24	C	17.87
A	A25	A	16.72
A	A25	B	16.20
A	A25	C	17.31
A	A26	A	16.86
A	A26	B	15.97
A	A26	C	18.96
A	A27	A	15.72
A	A27	B	15.31
A	A27	C	15.74
A	A28	A	14.74
A	A28	B	17.15
A	A28	C	16.68
A	A29	A	11.53
A	A29	B	14.52
A	A29	C	15.35
A	A30	A	15.47
A	A30	B	15.04
A	A30	C	15.85
A	A31	A	12.54
A	A31	B	14.06
A	A31	C	14.04
A	A32	A	13.58
A	A32	B	16.76
A	A32	C	16.30
A	A33	A	14.41
A	A33	B	14.41
A	A33	C	14.88
B	A1	A	13.33
B	A1	B	12.66
B	A1	C	12.67
B	A2	A	12.17
B	A2	B	13.53
B	A2	C	11.05
B	A2	A	12.44
B	A3	B	12.56
B	A3	C	13.34
B	A4	A	14.38
B	A4	B	13.35
B	A4	C	12.04
B	A5	A	13.08
B	A5	B	11.55
B	A5	C	10.92
B	A6	A	10.12
B	A6	B	10.33
B	A6	C	10.12
B	A6	A	10.59
B	A7	B	11.64
B	A7	C	10.91
B	A7	A	12.84
B	A8	B	12.15
B	A8	C	13.20
B	A9	A	12.34
B	A9	B	9.90
B	A9	C	11.25
B	A10	A	12.58
B	A10	B	13.33
B	A10	C	14.97
B	A11	A	8.89
B	A11	B	11.52
B	A11	C	8.77
B	A12	A	11.56
B	A12	B	11.32
B	A12	C	10.61
B	A13	A	12.35
