Taxa	PH5_C	PH6_C	PH5_D	PH6_D
G1	14.03	51.67	11.47	19.33
G2	3.8	10.33	4	9.67
G3	9.8	36.33	13.33	25
G4	16	65	11.33	20.7
G5	12.67	35.33	16.33	26.67
G6	8.67	19.33	5.43	11
G7	7.67	29	13.87	21.33
G8	18	53.67	8.33	12.33
G9	19.4	61.67	13.83	25.33
G10	20.33	72	15.93	28.67
G11	4.67	29.67	13.33	26
G12	10.7	48.67	4.77	9.33
G13	12.33	49.67	20.3	41.67
G14	7.67	33.67	14.17	29.33
G15	12.4	47.67	12.17	19
G16	6.17	30.33	7.33	18.67
G17	11.83	46	12.67	24
G18	7.9	34.33	8.17	26.33
G19	13.17	47.33	8.43	18.67
G20	9.17	27.67	5.17	10.33
G21	10.73	50	24.5	42
G22	6.9	36.67	7.67	14.67
G23	16.5	42.67	7.17	16
G24	9.2	41.33	18.67	37
G25	7.53	29.33	5.2	10.67
G26	16	51.67	8	13.33
G27	12.67	34.67	11.83	15.67
G28	13.17	54.67	12.27	31.67
G29	44.33	107.67	44.33	59.67
G30	17.4	56	8.6	25.67
G31	25.43	42.67	32	39.5
G32	13.83	54.33	9.23	29.33
G33	6.33	13.33	7.5	11.67
G34	15.33	60	8	17.33
G35	11.83	37.33	17.7	26.33
G36	9.03	48.33	8.23	20.83
G37	9.43	45	12.13	27.33
G38	8.2	37	9.83	11.33
G39	15.33	66.67	10.1	18
G40	11.83	41	9.63	14.33
G41	8.17	34.33	18	30.5
G42	7.5	24.33	6.67	12.67
G43	10.33	28.67	9.47	13.67
G44	8.83	24.33	11.77	15.67
G45	26	95.67	22.17	47
G46	11.33	39.67	16.17	23.33
G47	27.5	98.33	29.4	77.5
G48	11.17	57.67	28.17	41
G49	5.37	20.33	10.17	17.67
G50	12.17	35.33	19.33	33
G51	9.83	40.33	6.03	12.67
G52	8.4	31.33	6.5	10
G53	16.67	56.67	13.83	24.33
G54	10.17	43.67	9.23	16.33
G55	9.77	27.67	11.1	18
G56	17.83	55	10.23	24.67
G57	26.67	87	23.07	36.33
G58	8	34.33	5.4	15
G59	8.33	43	8.83	21.33
G60	4.93	22.67	3.75	12
G61	11.33	55.33	12.67	27
G62	30.17	75.33	18.53	34.67
G63	23.67	63	24.17	45
G64	29.5	98.5	15.87	35
G65	6.47	26	9.33	16.67
G66	19	61.67	20.23	33.33
G67	23.33	78	22.9	34.33
G68	7.83	38.33	6.33	11
G69	9.73	69.67	26.7	41.33
G70	13	52	33.17	20.67
G71	10.67	45.33	7	13
G72	45.67	117	27.17	52.33
G73	10.57	45.67	8.33	12.33
G74	27.73	56.33	31	43.33
G75	13.33	39	10.47	23
G76	8.07	34	7.33	13
G77	6.07	23	6.17	10.33
G78	18.67	63	9.1	21.67
G79	10.33	36.33	10	24
G80	6.17	21	7.77	16
G81	10.33	33.67	6.47	16.67
G82	15.53	57.33	17.33	35.33
G83	5.33	19.33	5.03	9.33
G84	11.67	46	6.17	9.33
G85	4.83	9.67	5.33	9.67
G86	8	33	17.5	29
G87	8.33	24.67	11.27	26.33
G88	12.67	49.67	4.67	8.33
G89	7.67	26.67	6	9.33
G90	9.17	32	9.17	9.67
G91	17.17	60.33	12.8	19.33
G92	19	76.33	19.8	38
G93	7.57	28.67	9.83	15.67
G94	11.33	42.67	7.83	13
G95	7	34	7	15.67
G96	9	36	7	11
G97	12.83	56	11.4	14.33
G98	5.6	14.33	10	13
G99	6.03	21	7.5	13
G100	6.73	23.33	7.67	10.33
G101	8.33	25	6.17	8.33
G102	17.33	50.33	19.5	33
G103	11.5	58	20.33	41.67
G104	27.83	67	12.83	28.33
G105	8.03	27.67	9.33	12.33
G106	11.33	54.67	6.5	11.67
G107	31.33	83.67	14.67	28
